phase,epoch,loss,valid_mae,reg,cls,rec,rec0,sim,diff,bal,rho_min,rho_max,lam_kd,kd,kd_logit,kd_reg,kd_rel
teacher,1,2.9726308981577554,1.4698456525802612,1.4618672529856365,0.9468174576759338,0.0,0.9279229243596395,0.08434033145507176,0.0056899624566237135,5.496960481007894,,,,,,,
teacher,2,2.458638588587443,1.4614176750183105,1.1100133260091145,0.8118088444073995,0.0,0.9089759190877279,0.04932548850774765,0.005408592677364747,5.496143023173015,,,,,,,
teacher,3,2.3670679728190103,1.4614145755767822,1.103874921798706,0.7453136841456095,0.0,0.8928517699241638,0.028251069287459057,0.0048041992510358495,5.49258279800415,,,,,,,
teacher,4,2.3431410789489746,1.4590123891830444,1.1154662370681763,0.7223211328188578,0.0,0.8796700636545817,0.017301516917844612,0.00410890889664491,5.48134167989095,,,,,,,
teacher,5,2.2828097343444824,1.4589591026306152,1.0831044912338257,0.7021143833796183,0.0,0.8697725733121237,0.012328396240870157,0.0037768281375368438,5.465205192565918,,,,,,,
teacher,6,2.260218063990275,1.4546139240264893,1.0748741229375203,0.6934195160865784,0.0,0.8612587253252665,0.010065303494532904,0.003621393581852317,5.44517199198405,,,,,,,
teacher,7,2.250143130620321,1.4455713033676147,1.0735005140304565,0.6890141765276591,0.0,0.8540887236595154,0.009147732518613338,0.0035429125806937614,5.4238630930582685,,,,,,,
teacher,8,2.233839670817057,1.4317141771316528,1.06365567445755,0.6857048869132996,0.0,0.848186731338501,0.009234465658664703,0.0034828141797333956,5.40270455678304,,,,,,,
teacher,9,2.2080938816070557,1.406989574432373,1.0481284062067668,0.677283763885498,0.0,0.8436927994092306,0.01050853015234073,0.003545693587511778,5.380823135375977,,,,,,,
teacher,10,2.1752657890319824,1.3673193454742432,1.0273629426956177,0.6656004389127096,0.0,0.8404383659362793,0.013339117790261904,0.003687227532888452,5.357009569803874,,,,,,,
teacher,11,2.13443652788798,1.308283805847168,1.000449577967326,0.6509050925572714,0.0,0.8381252487500509,0.01763191477706035,0.003773567577203115,5.331636905670166,,,,,,,
teacher,12,2.0716687043507895,1.2283790111541748,0.957087496916453,0.6301357547442118,0.0,0.8365719119707743,0.022322296475370724,0.0038478809874504805,5.307451883951823,,,,,,,
teacher,13,1.9852968851725261,1.1281232833862305,0.8958024183909098,0.6032053629557291,0.0,0.8353218038876852,0.02763879920045535,0.003922711980218689,5.284748236338298,,,,,,,
teacher,14,1.8818965752919514,1.0162036418914795,0.8203405936559042,0.5732740163803101,0.0,0.8347053329149882,0.03257186710834503,0.003982118330895901,5.265216668446858,,,,,,,
